Worker ID, File, Total Time (ms), lateFile?, totalSpans, parser nodes, typer nodes, LoC, LoC/s
0, app/controllers/goodsSummary/ConfirmRemoveSealController.scala, 662, false, 108, 478, 775, 91, 137
0, app/models/package.scala, 661, false, 84, 769, 1244, 114, 172
5, app/controllers/movementDetails/RepresentativeCapacityController.scala, 659, false, 87, 334, 660, 67, 102
1, app/utils/package.scala, 657, false, 77, 478, 1073, 82, 125
7, app/controllers/traderDetails/WhatIsConsigneeEoriController.scala, 655, false, 87, 320, 564, 65, 99
1, app/models/package.scala, 651, false, 84, 769, 1244, 114, 175
1, app/controllers/transportDetails/ChangeAtBorderController.scala, 644, false, 87, 338, 660, 67, 104
7, app/controllers/traderDetails/ConsignorAddressController.scala, 642, false, 96, 457, 843, 91, 142
0, app/controllers/transportDetails/ModeAtBorderController.scala, 640, false, 101, 387, 626, 76, 119
4, app/controllers/traderDetails/AddConsignorController.scala, 639, false, 87, 338, 660, 67, 105
1, app/controllers/movementDetails/DeclarationTypeController.scala, 637, false, 87, 334, 652, 67, 105
5, app/controllers/addItems/DeclareMarkController.scala, 633, false, 91, 352, 638, 69, 109
0, app/controllers/routeDetails/AddAnotherTransitOfficeController.scala, 632, false, 97, 382, 721, 78, 123
6, app/models/UserAnswers.scala, 625, false, 104, 372, 935, 64, 102
0, app/models/messages/DeclarationRequest.scala, 622, false, 159, 515, 1630, 70, 113
5, app/models/package.scala, 621, false, 84, 769, 1244, 114, 184
7, app/controllers/addItems/traderDetails/TraderDetailsConsignorEoriNumberController.scala, 621, false, 91, 340, 599, 66, 106
5, app/controllers/addItems/traderDetails/TraderDetailsConsigneeEoriKnownController.scala, 617, false, 91, 358, 695, 68, 110
7, app/controllers/addItems/ItemDescriptionController.scala, 615, false, 87, 344, 624, 66, 107
2, app/filters/AllowlistFilter.scala, 605, false, 48, 110, 204, 28, 46
2, app/models/messages/Meta.scala, 603, false, 195, 1072, 1844, 89, 148
0, app/controllers/routeDetails/RouteDetailsCheckYourAnswersController.scala, 601, false, 98, 421, 753, 95, 158
7, app/controllers/goodsSummary/AuthorisedLocationCodeController.scala, 600, false, 87, 320, 564, 65, 108
1, app/controllers/traderDetails/IsConsignorEoriKnownController.scala, 594, false, 87, 338, 660, 67, 113
0, app/controllers/transportDetails/NationalityAtDepartureController.scala, 585, false, 101, 389, 626, 76, 130
5, app/models/messages/trader/TraderPrincipal.scala, 583, false, 156, 1031, 1902, 85, 146
0, app/controllers/goodsSummary/ControlResultDateLimitController.scala, 582, false, 89, 344, 644, 69, 119
5, app/controllers/guaranteeDetails/OtherReferenceLiabilityAmountController.scala, 582, false, 87, 320, 564, 65, 112
4, app/controllers/movementDetails/DeclarationForSomeoneElseController.scala, 579, false, 87, 338, 660, 67, 116
3, app/models/package.scala, 576, false, 84, 769, 1244, 114, 198
2, app/models/messages/Header.scala, 568, false, 266, 1916, 3560, 136, 239
0, target/scala-2.12/routes/main/controllers/routeDetails/javascript/JavaScriptReverseRoutes.scala, 561, false, 91, 1846, 2099, 266, 474
6, app/controllers/routeDetails/AddTransitOfficeController.scala, 559, false, 103, 440, 831, 78, 140
0, app/controllers/addItems/IsCommodityCodeKnownController.scala, 556, false, 87, 362, 720, 68, 122
0, app/controllers/goodsSummary/AddCustomsApprovedLocationController.scala, 556, false, 87, 338, 660, 67, 121
4, app/controllers/addItems/AddMarkController.scala, 555, false, 91, 370, 734, 71, 128
4, app/forms/mappings/Formatters.scala, 555, false, 113, 553, 808, 80, 144
7, app/controllers/transportDetails/AddIdAtDepartureController.scala, 554, false, 87, 338, 660, 67, 121
3, app/controllers/goodsSummary/AddSealsController.scala, 544, false, 87, 338, 660, 67, 123
1, app/controllers/goodsSummary/GoodsSummaryCheckYourAnswersController.scala, 540, false, 65, 169, 292, 34, 63
6, app/models/package.scala, 540, false, 84, 769, 1244, 114, 211
5, app/controllers/addItems/AddItemsSameConsignorForAllItemsController.scala, 538, false, 91, 355, 689, 68, 126
7, app/controllers/routeDetails/CountryOfDispatchController.scala, 536, false, 101, 389, 626, 76, 142
4, app/pages/guaranteeDetails/GuaranteeTypePage.scala, 535, false, 42, 258, 408, 41, 77
5, target/scala-2.12/routes/main/controllers/movementDetails/javascript/JavaScriptReverseRoutes.scala, 533, false, 84, 1478, 1647, 235, 441
0, app/controllers/addItems/previousReferences/PreviousReferenceController.scala, 522, false, 93, 355, 644, 70, 134
7, app/controllers/addItems/traderDetails/TraderDetailsConsignorAddressController.scala, 522, false, 91, 340, 599, 66, 126
0, app/controllers/addItems/AddAnotherItemController.scala, 519, false, 99, 404, 737, 73, 141
5, app/controllers/traderDetails/ConsigneeNameController.scala, 513, false, 87, 320, 564, 65, 127
6, app/controllers/traderDetails/ConsignorNameController.scala, 510, false, 87, 320, 564, 65, 127
7, app/controllers/addItems/traderDetails/TraderDetailsConsigneeEoriNumberController.scala, 510, false, 91, 340, 599, 66, 129
0, app/utils/RouteDetailsCheckYourAnswersHelper.scala, 507, false, 74, 971, 2024, 154, 304
3, app/controllers/addItems/ConfirmRemoveItemController.scala, 507, false, 95, 372, 729, 76, 150
